geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSCOC_T00014050001	-1.157862e+01	1.6110406070	-5.780717736	2.804265e-04	9.922293e-04	0.8093305357
GSCOC_T00012163001	1.089574e+01	3.9958490016	10.629730150	2.402653e-06	2.780703e-05	5.3514783830
GSCOC_T00042054001	-1.075108e+01	3.7958253375	-7.970628245	2.475093e-05	1.478088e-04	3.1653358379
GSCOC_T00028945001	-1.073875e+01	0.8197498751	-7.469527484	4.114224e-05	2.196292e-04	2.6652698691
GSCOC_T00034473001	1.071218e+01	3.3543369583	9.659136396	5.284360e-06	4.830251e-05	4.5782489187
GSCOC_T00037367001	-1.064410e+01	2.5143462406	-8.597060147	1.356565e-05	9.421264e-05	3.6963976437
GSCOC_T00022211001	-1.064308e+01	3.6108637955	-10.322109672	3.063166e-06	3.295861e-05	5.1394678446
GSCOC_T00013166001	1.034504e+01	4.0708241207	8.591192348	1.364003e-05	9.448201e-05	3.7453541195
GSCOC_T00017842001	1.007395e+01	1.7220859390	11.126678585	1.643513e-06	2.123096e-05	5.5462146297
GSCOC_T00021476001	1.006341e+01	2.4412252658	16.069540402	7.264029e-08	3.165472e-06	7.8934387231
GSCOC_T00020648001	9.997799e+00	1.7054276389	13.616437177	2.998373e-07	7.367269e-06	6.8944673027
GSCOC_T00006097001	-9.936297e+00	-0.3706958462	-4.894818416	8.894388e-04	2.531790e-03	-0.3324636410
GSCOC_T00005517001	-9.787809e+00	4.6663073282	-13.635016719	2.963796e-07	7.347695e-06	7.4406789067
GSCOC_T00036968001	-9.783088e+00	0.2656489867	-3.093149184	1.308000e-02	2.444463e-02	-3.0167475503
GSCOC_T00043129001	9.693505e+00	1.2834725142	13.672702855	2.895010e-07	7.264776e-06	6.9227134036
GSCOC_T00001123001	-9.685501e+00	2.3852075925	-14.632003448	1.623317e-07	5.083914e-06	7.3866103648
GSCOC_T00042432001	9.661606e+00	-0.2231724039	11.595693057	1.164016e-06	1.713710e-05	5.8254669396
GSCOC_T00007855001	-9.515228e+00	0.7889446420	-11.578386575	1.178666e-06	1.717669e-05	5.8204067111
GSCOC_T00016359001	9.475091e+00	1.2823312174	11.308645500	1.435483e-06	1.962372e-05	5.6600643283
GSCOC_T00036969001	-9.433853e+00	1.5712554074	-2.750417999	2.274971e-02	3.926512e-02	-3.5635063286
GSCOC_T00042688001	-9.421239e+00	2.5629162684	-12.480204476	6.273918e-07	1.152771e-05	6.4446438161
GSCOC_T00022049001	9.380698e+00	0.2136441455	15.969234373	7.666141e-08	3.281781e-06	7.8588130226
GSCOC_T00033332001	-9.250772e+00	8.0398866503	-15.770294136	8.538791e-08	3.480396e-06	8.7424797192
GSCOC_T00015426001	9.241673e+00	0.1395385286	9.477861479	6.167957e-06	5.408334e-05	4.4056350946
GSCOC_T00015869001	9.228703e+00	0.1370488262	18.842720667	1.834628e-08	1.536538e-06	8.7532392477
GSCOC_T00032889001	-9.185492e+00	2.8939233516	-3.975575105	3.319246e-03	7.570394e-03	-1.7612759766
GSCOC_T00036466001	9.159365e+00	0.7131527910	9.756893442	4.866537e-06	4.572751e-05	4.6168601253
GSCOC_T00041749001	9.111964e+00	0.8726144597	10.465749589	2.732654e-06	3.051027e-05	5.1174741169
GSCOC_T00026895001	9.107928e+00	1.0012377105	12.359172569	6.811458e-07	1.211917e-05	6.2631088811
GSCOC_T00041840001	9.043928e+00	1.1819537678	13.042524514	4.321850e-07	9.147427e-06	6.6185641477
GSCOC_T00035078001	-8.969398e+00	0.4331137803	-4.788384517	1.029462e-03	2.853876e-03	-0.4793844487
GSCOC_T00042395001	8.918443e+00	2.4157908391	21.658177632	5.460848e-09	7.551342e-07	9.6094131718
