geneID	leaf.AVG	stem.AVG	LogFC
GSCOC_T00000002001	2.75	4.41	1.66
GSCOC_T00000011001	0.19	3.27	3.09
GSCOC_T00000014001	3.8	3.6	-0.2
GSCOC_T00000023001	3.96	3	-0.96
GSCOC_T00000028001	1.54	2.02	0.47
GSCOC_T00000029001	5.79	6.29	0.5
GSCOC_T00000034001	2.24	0.96	-1.28
GSCOC_T00000037001	5.9	5.98	0.08
GSCOC_T00000040001	2.99	3.49	0.5
GSCOC_T00000042001	3.45	4.47	1.02
GSCOC_T00000043001	4.55	4.64	0.09
GSCOC_T00000045001	5.6	6.07	0.47
GSCOC_T00000049001	3.29	3.7	0.41
GSCOC_T00000057001	0.87	-0.78	-1.65
GSCOC_T00000060001	-0.25	0.67	0.92
GSCOC_T00000062001	0.89	3.14	2.25
GSCOC_T00000066001	3.6	3.56	-0.04
GSCOC_T00000068001	-1.54	0.73	2.27
GSCOC_T00000084001	4.95	5.12	0.17
GSCOC_T00000086001	4.58	4.19	-0.39
GSCOC_T00000088001	6.57	7.39	0.81
GSCOC_T00000089001	3.38	7.86	4.48
GSCOC_T00000092001	6.46	6.49	0.03
GSCOC_T00000093001	5.86	3.97	-1.89
GSCOC_T00000094001	5.91	4.45	-1.47
GSCOC_T00000095001	4.91	-0.61	-5.52
GSCOC_T00000096001	4.19	-0.79	-4.98
GSCOC_T00000097001	7.24	3.11	-4.13
GSCOC_T00000098001	1.82	-2.97	-4.79
GSCOC_T00000102001	7.45	6.56	-0.89
GSCOC_T00000103001	5.82	4.87	-0.95
GSCOC_T00000104001	5.16	4.74	-0.42
GSCOC_T00000106001	1.59	0.62	-0.98
GSCOC_T00000115001	1.55	-2.8	-4.35
GSCOC_T00000121001	1.62	1.97	0.35
GSCOC_T00000134001	7.54	7.82	0.28
GSCOC_T00000136001	4.24	-0.82	-5.06
GSCOC_T00000137001	7.77	4.06	-3.7
GSCOC_T00000138001	4.59	0.87	-3.72
GSCOC_T00000139001	1.43	-0.69	-2.11
GSCOC_T00000140001	3.18	1.05	-2.13
GSCOC_T00000152001	5.81	5.9	0.09
GSCOC_T00000196001	3.1	3.3	0.2
GSCOC_T00000204001	-0.71	0.76	1.47
GSCOC_T00000206001	3.41	4.83	1.42
GSCOC_T00000224001	3.75	2.13	-1.62
GSCOC_T00000226001	2.26	2.32	0.05
GSCOC_T00000230001	0.1	1.04	0.94
GSCOC_T00000261001	0.55	3.45	2.9
GSCOC_T00000264001	-2.94	1.51	4.45
GSCOC_T00000270001	8.02	4.25	-3.78
GSCOC_T00000276001	1.64	3.49	1.85
GSCOC_T00000281001	1.92	2.1	0.18
GSCOC_T00000289001	4.97	8.5	3.53
GSCOC_T00000290001	6.39	6.07	-0.32
GSCOC_T00000291001	5.99	5.74	-0.25
GSCOC_T00000292001	2.74	2.38	-0.35
GSCOC_T00000299001	1.82	1.93	0.11
GSCOC_T00000301001	-0.29	1.66	1.94
GSCOC_T00000304001	1.33	0.28	-1.05
GSCOC_T00000306001	4.4	4.52	0.12
GSCOC_T00000307001	5.27	4.42	-0.85
GSCOC_T00000308001	-0.02	0.77	0.79
GSCOC_T00000315001	4.89	3.73	-1.16
GSCOC_T00000316001	1.65	6.98	5.33
GSCOC_T00000320001	4.8	5.08	0.27
GSCOC_T00000322001	4.94	4.52	-0.43
GSCOC_T00000326001	5.69	5.4	-0.29
GSCOC_T00000391001	2.26	1.76	-0.5
GSCOC_T00000395001	3.03	2.89	-0.14
GSCOC_T00000461001	-2.6	0.67	3.27
GSCOC_T00000481001	4.14	2.95	-1.19
GSCOC_T00000484001	3.64	0.55	-3.09
GSCOC_T00000514001	4.08	3.78	-0.3
GSCOC_T00000516001	5.53	6.55	1.02
GSCOC_T00000521001	3.37	3.04	-0.32
GSCOC_T00000525001	-0.79	1.48	2.27
GSCOC_T00000534001	5.94	5.48	-0.46
GSCOC_T00000535001	-0.31	2.45	2.77
GSCOC_T00000537001	6.72	5.7	-1.01
GSCOC_T00000538001	6.72	5.7	-1.01
GSCOC_T00000541001	5.03	4.18	-0.85
GSCOC_T00000560001	3.87	1.18	-2.7
GSCOC_T00000564001	1.95	-1.56	-3.52
GSCOC_T00000597001	0.34	1.73	1.39
GSCOC_T00000618001	3.97	2.68	-1.29
GSCOC_T00000619001	6.17	6.06	-0.1
GSCOC_T00000621001	2.71	2.05	-0.66
GSCOC_T00000627001	1.78	4.43	2.65
GSCOC_T00000629001	-0.47	1.38	1.85
GSCOC_T00000635001	0.69	1.2	0.51
GSCOC_T00000636001	2.66	3.66	1
GSCOC_T00000637001	2.5	4.59	2.09
GSCOC_T00000642001	4.35	-2.42	-6.77
GSCOC_T00000646001	5.84	4.77	-1.08
GSCOC_T00000647001	3.9	3.54	-0.37
GSCOC_T00000650001	3.21	3.4	0.19
GSCOC_T00000651001	4.31	5.31	1
GSCOC_T00000652001	6	5.79	-0.21
GSCOC_T00000653001	4.14	2.57	-1.57
GSCOC_T00000654001	7.03	7.59	0.57
GSCOC_T00000655001	4.9	6.1	1.2
GSCOC_T00000656001	6.16	6.82	0.66
GSCOC_T00000657001	6.07	5.09	-0.98
GSCOC_T00000658001	2.78	4.72	1.94
GSCOC_T00000661001	-0.86	0.1	0.96
GSCOC_T00000662001	5.56	6.84	1.27
GSCOC_T00000663001	5.79	4.81	-0.97
GSCOC_T00000666001	5.05	5.05	0
GSCOC_T00000667001	11.73	9.86	-1.87
GSCOC_T00000668001	10.76	9.22	-1.53
GSCOC_T00000669001	2.31	4.67	2.36
GSCOC_T00000670001	4.23	4.83	0.59
GSCOC_T00000671001	6.65	6.22	-0.43
GSCOC_T00000673001	4.33	4.47	0.14
GSCOC_T00000675001	4.54	5.33	0.79
GSCOC_T00000677001	6.43	5.66	-0.77
GSCOC_T00000679001	-2.36	1.62	3.99
GSCOC_T00000680001	2.66	2.93	0.26
GSCOC_T00000681001	5.39	3.8	-1.58
GSCOC_T00000682001	1.09	4.22	3.13
GSCOC_T00000689001	3.3	3.74	0.44
GSCOC_T00000690001	3.49	3.98	0.49
GSCOC_T00000694001	3.49	5.03	1.54
GSCOC_T00000696001	5.2	3.95	-1.24
GSCOC_T00000697001	3.31	2.85	-0.46
GSCOC_T00000698001	7.24	7.37	0.13
GSCOC_T00000699001	3.05	3.82	0.77
GSCOC_T00000700001	2.42	3.43	1.01
GSCOC_T00000703001	5.29	6.2	0.91
GSCOC_T00000705001	7.81	7.57	-0.24
GSCOC_T00000707001	5.94	5.87	-0.07
GSCOC_T00000711001	2.92	3.94	1.03
GSCOC_T00000713001	5.19	6.16	0.97
GSCOC_T00000714001	0.83	4.33	3.5
GSCOC_T00000715001	6.96	6.43	-0.53
GSCOC_T00000716001	8.17	7.75	-0.42
GSCOC_T00000718001	4.56	4.61	0.05
GSCOC_T00000719001	3.95	3.31	-0.64
GSCOC_T00000721001	1.34	4.37	3.04
GSCOC_T00000723001	-0.43	2.06	2.49
GSCOC_T00000724001	5.41	6.52	1.11
GSCOC_T00000728001	0.59	-0.43	-1.02
GSCOC_T00000729001	7.78	6.35	-1.43
GSCOC_T00000730001	6.25	5.24	-1.01
GSCOC_T00000733001	5.9	5.85	-0.05
GSCOC_T00000734001	4.93	2.11	-2.81
GSCOC_T00000735001	6.23	5.41	-0.81
GSCOC_T00000736001	4.25	3.6	-0.65
GSCOC_T00000739001	-0.6	1.18	1.78
GSCOC_T00000740001	3.43	3.27	-0.16
GSCOC_T00000753001	6	5.81	-0.19
GSCOC_T00000754001	3.98	6.66	2.68
GSCOC_T00000755001	0.6	1.57	0.97
GSCOC_T00000756001	2.75	-0.37	-3.13
GSCOC_T00000760001	1.76	1.69	-0.07
GSCOC_T00000762001	5.09	4.76	-0.33
GSCOC_T00000764001	2.71	1.92	-0.79
GSCOC_T00000778001	6.2	5.66	-0.54
GSCOC_T00000779001	3.07	2.86	-0.21
GSCOC_T00000780001	5.19	5.56	0.37
GSCOC_T00000781001	6.96	6.78	-0.18
GSCOC_T00000782001	4.65	5.09	0.44
GSCOC_T00000785001	4.41	4.62	0.21
GSCOC_T00000787001	5.18	5.66	0.48
GSCOC_T00000794001	6.19	5.32	-0.88
GSCOC_T00000798001	1.09	0.9	-0.19
GSCOC_T00000799001	0.66	-2.4	-3.05
GSCOC_T00000804001	-0.31	1.2	1.51
GSCOC_T00000814001	5.85	5.45	-0.39
GSCOC_T00000819001	2.59	2.16	-0.42
GSCOC_T00000823001	4.26	-1.65	-5.91
GSCOC_T00000826001	7.09	6.41	-0.68
GSCOC_T00000828001	4.46	2.11	-2.35
GSCOC_T00000830001	2.04	3.18	1.14
GSCOC_T00000832001	0.85	-2.54	-3.38
GSCOC_T00000840001	0.44	0.98	0.54
GSCOC_T00000902001	5.17	4.84	-0.33
GSCOC_T00000909001	3.97	4.46	0.48
GSCOC_T00000915001	0.97	2.67	1.7
GSCOC_T00000918001	2.18	3.29	1.11
GSCOC_T00000919001	1.52	0.3	-1.21
GSCOC_T00000922001	3.22	4.02	0.8
GSCOC_T00000924001	4.36	4.61	0.25
GSCOC_T00000926001	2.64	3.04	0.41
GSCOC_T00000928001	3.23	4.24	1.01
GSCOC_T00000932001	-0.72	-1.04	-0.31
GSCOC_T00000934001	3.5	2.8	-0.7
GSCOC_T00000937001	7.12	5.6	-1.52
GSCOC_T00000939001	-0.25	3.65	3.9
GSCOC_T00000941001	0.05	0.59	0.54
GSCOC_T00000978001	5.03	5.22	0.19
GSCOC_T00000979001	8.12	7.98	-0.14
GSCOC_T00000980001	3.55	3.3	-0.25
GSCOC_T00000981001	3.12	2.91	-0.21
GSCOC_T00000986001	3.61	4.13	0.53
GSCOC_T00000993001	-0.13	3.07	3.2
GSCOC_T00000994001	-0.63	3.45	4.08
GSCOC_T00000996001	2.24	1.79	-0.45
GSCOC_T00000997001	6.95	6.3	-0.65
GSCOC_T00001006001	1.07	1.92	0.85
GSCOC_T00001007001	5.69	5.48	-0.21
GSCOC_T00001010001	4.31	5.09	0.79
GSCOC_T00001011001	3.71	4.55	0.84
GSCOC_T00001012001	4.1	4.19	0.09
GSCOC_T00001013001	4	2.12	-1.88
GSCOC_T00001014001	9.7	3.72	-5.98
GSCOC_T00001016001	3.27	4.44	1.17
GSCOC_T00001018001	1.76	2.78	1.02
GSCOC_T00001019001	5.55	6.42	0.87
GSCOC_T00001021001	4.05	4.19	0.14
GSCOC_T00001022001	4.65	4.59	-0.06
GSCOC_T00001024001	4.68	5.72	1.05
GSCOC_T00001026001	6.93	7.16	0.23
GSCOC_T00001027001	5.39	5.79	0.4
GSCOC_T00001028001	5.68	5.73	0.04
GSCOC_T00001030001	1.54	1.28	-0.26
GSCOC_T00001031001	7.74	4.97	-2.77
GSCOC_T00001032001	3.7	3.91	0.21
GSCOC_T00001033001	5.19	6.2	1.01
GSCOC_T00001034001	7.44	5.96	-1.48
GSCOC_T00001037001	7.15	8.8	1.64
GSCOC_T00001038001	6.38	3.96	-2.42
GSCOC_T00001039001	5.14	6.79	1.65
GSCOC_T00001041001	5.03	2.09	-2.94
GSCOC_T00001042001	5.25	1.49	-3.76
GSCOC_T00001044001	5.41	5.65	0.24
GSCOC_T00001045001	7.94	8.25	0.31
GSCOC_T00001047001	5.93	6.02	0.1
GSCOC_T00001051001	1.72	4.79	3.06
GSCOC_T00001052001	4.93	5.38	0.45
GSCOC_T00001053001	5.09	5.8	0.71
GSCOC_T00001054001	5.33	5.96	0.63
GSCOC_T00001055001	6.11	5.4	-0.72
GSCOC_T00001056001	2.17	2.78	0.61
GSCOC_T00001057001	4.89	5.36	0.47
GSCOC_T00001062001	2.4	2.62	0.21
GSCOC_T00001066001	8.67	8.37	-0.3
GSCOC_T00001067001	4.57	5.1	0.53
GSCOC_T00001070001	1.62	1.52	-0.1
GSCOC_T00001074001	1.13	1.38	0.25
GSCOC_T00001075001	9.27	9.38	0.11
GSCOC_T00001079001	3.47	3.87	0.41
GSCOC_T00001080001	3	2.77	-0.23
GSCOC_T00001081001	-0.07	1.72	1.79
GSCOC_T00001084001	2.7	2.73	0.03
GSCOC_T00001095001	5.16	2.1	-3.07
GSCOC_T00001103001	4.04	4.39	0.35
GSCOC_T00001104001	0.35	0.25	-0.11
GSCOC_T00001107001	6.35	5.87	-0.48
GSCOC_T00001110001	1.19	1.52	0.33
GSCOC_T00001111001	3.99	3.63	-0.37
GSCOC_T00001116001	1.41	-1.41	-2.82
GSCOC_T00001118001	3.37	3.75	0.38
GSCOC_T00001122001	5.01	5.36	0.35
GSCOC_T00001123001	7.24	-1.72	-8.96
GSCOC_T00001125001	0.79	-0.58	-1.37
GSCOC_T00001147001	1.1	-2.53	-3.63
GSCOC_T00001151001	3.7	3.34	-0.36
GSCOC_T00001161001	1.61	1.1	-0.51
GSCOC_T00001164001	3.09	2.11	-0.98
GSCOC_T00001167001	2.96	3.89	0.93
GSCOC_T00001189001	3.29	2.78	-0.5
GSCOC_T00001194001	6.63	6.54	-0.09
GSCOC_T00001195001	4.69	4.78	0.09
GSCOC_T00001196001	2.54	4.4	1.86
GSCOC_T00001204001	4.49	4.42	-0.07
GSCOC_T00001205001	4.67	4.74	0.07
GSCOC_T00001207001	-1.2	0.99	2.19
GSCOC_T00001208001	1.77	4.49	2.72
GSCOC_T00001209001	6.04	2.16	-3.88
GSCOC_T00001211001	4.02	3.05	-0.96
GSCOC_T00001213001	5.3	3.65	-1.66
GSCOC_T00001214001	4.89	3.23	-1.66
GSCOC_T00001216001	1.11	-0.05	-1.17
GSCOC_T00001217001	2.92	2.69	-0.23
GSCOC_T00001218001	2.02	1.95	-0.06
