target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	835.612	54.516
CDP20216	763	584	25.585	3.17545
CDP20215	2478	2299	16.0584	0.506288
CDP22091	654	475	10.1027	1.54162
CDP22092	1677	1498	45.8675	2.21935
CDP22093	1104	925	838	65.6653
CDP20217	1276	1097	2138.82	141.319
CDP20218	777	598	2	0.242417
CDP20219	651	472	54.1859	8.32105
CDP20221	750	571	11.1071	1.40993
CDP20223	330	151	22.4552	10.7789
CDP20224	400	221	14	4.59165
CDP20222	341	162	644.757	288.479
CDP20220	813	634	0	0
CDP20225	447	268	6.34105	1.71498
CDP20228	1443	1264	0	0
CDP20226	975	796	6	0.546351
CDP20227	1853	1674	0	0
CDP20229	171	13.7365	0	0
CDP22094	521	342	21.65	4.58844
CDP22095	468	289	0	0
CDP20230	639	460	17	2.6787
CDP20231	378	199	3.57151	1.30086
CDP22096	645	466	0	0
CDP22097	1680	1501	11243	542.919
CDP20232	426	247	0	0
CDP20234	4224	4045	13.7107	0.245683
CDP20233	2106	1927	1	0.0376142
CDP20235	2943	2764	56.7015	1.48693
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	215	19.4069
CDP20238	1203	1024	0	0
CDP20240	1248	1069	849	57.5657
CDP20239	1428	1249	60	3.48195
CDP20242	2340	2161	4	0.134165
CDP20243	922	743	355.902	34.7196
CDP22100	2118	1939	295.794	11.0572
CDP20245	1166	987	4.58626	0.336802
CDP20246	357	178	0	0
CDP20244	492	313	0	0
CDP20247	1077	898	30.2298	2.44002
CDP20248	1086	907	285.076	22.7818
CDP20249	1266	1087	0	0
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	6720.42	695.876
CDP22103	1122	943	9	0.691774
CDP20251	980	801	191	17.2836
CDP20252	2573	2394	1391	42.115
CDP22104	1069	890	4.13597	0.336838
CDP20253	1455	1276	60	3.40827
CDP22105	1587	1408	28.0958	1.44635
CDP20254	4634	4455	700.118	11.3909
CDP22106	918	739	10.0323	0.983985
CDP20255	755	576	0	0
CDP22107	546	367	83.925	16.5752
CDP22108	609	430	0	0
CDP22109	465	286	10	2.53435
CDP20256	434	255	122	34.6779
CDP22110	862	683	194.455	20.6363
CDP22111	1193	1014	279.97	20.0128
CDP20258	1545	1366	0	0
CDP20257	1126	947	207	15.8436
CDP22112	564	385	0	0
CDP22113	1845	1666	10.7591	0.468094
CDP20259	1674	1495	444	21.5266
CDP20260	399	220	0	0
CDP22114	580	401	9.47558	1.71275
CDP20261	387	208	0	0
CDP20262	3099	2920	45.1634	1.12108
CDP20263	870	691	0	0
CDP22115	546	367	0	0
CDP15750	1341	1162	253	15.7815
CDP15747	3013	2834	1071	27.392
CDP15748	849	670	6	0.649097
CDP15749	3591	3412	1933	41.0635
CDP15751	1405	1226	137	8.0996
CDP15746	1017	838	0	0
CDP15752	1425	1246	278	16.1719
CDP22116	492	313	316	73.1773
CDP22117	501	322	0	0
CDP22118	804	625	11	1.27569
CDP22119	480	301	0	0
CDP20266	976	797	113.419	10.3148
CDP20267	336	157	7.95606	3.67309
CDP20264	896	717	10	1.01091
CDP20265	2799	2620	62.1836	1.72032
CDP20269	363	184	0	0
CDP20268	1713	1534	4.98388	0.235492
CDP22120	255	76.0064	1	0.953637
CDP20272	780	601	9	1.08543
CDP20273	2965	2786	2	0.0520334
CDP20274	738	559	23.0204	2.98494
CDP22121	1635	1456	0	0
CDP22122	804	625	0	0
CDP20275	1014	835	0	0
CDP20279	1680	1501	103	4.97382
CDP20277	2073	1894	70	2.67887
CDP20278	2842	2663	2687	73.1358
CDP20276	4025	3846	189	3.56193
CDP20280	737	558	272	35.332
CDP20283	2773	2594	753	21.0406
CDP20281	1840	1661	53	2.31281
CDP20282	1365	1186	30	1.83345
CDP22123	1626	1447	31.1315	1.55943
CDP22124	912	733	0	0
CDP20286	1237	1058	612.53	41.9638
CDP20285	228	49.4247	95	139.32
CDP20284	1157	978	680.897	50.4634
CDP20288	765	586	4.30024	0.531898
CDP20287	1468	1289	69.4924	3.90767
CDP22125	145	8.64817	11	92.1938
CDP22126	361	182	801.859	319.345
CDP22127	1767	1588	231.549	10.5688
CDP20289	264	85.0011	0	0
CDP20293	126	6.66748	0	0
CDP20290	135	7.48819	0	0
CDP20292	618	439	0	0
CDP20291	942	763	0	0
CDP22128	330	151	0	0
CDP20294	249	70.019	0	0
CDP20295	3228	3049	1327	31.5462
CDP22129	648	469	312.689	48.3251
CDP22130	486	307	2.09789	0.495312
CDP20296	474	295	0	0
CDP20297	393	214	0	0
CDP20300	469	290	0	0
CDP20298	3664	3485	1860	38.6851
CDP20301	240	61.0822	2	2.37328
CDP20299	2430	2251	4955	159.552
CDP20302	1538	1359	484	25.8142
CDP22131	312	133	0	0
CDP22132	189	20.4424	0	0
CDP22133	1011	832	0	0
CDP22134	552	373	4	0.777293
CDP15789	2365	2186	635	21.0551
CDP15785	2077	1898	435	16.6122
CDP15788	483	304	0	0
CDP15787	576	397	2	0.365151
CDP15790	2622	2443	1571	46.6108
CDP15791	2120	1941	1275	47.6122
CDP15786	1554	1375	86	4.53345
CDP22135	870	691	0	0
CDP20313	744	565	0	0
CDP20312	1638	1459	28	1.39103
CDP20310	399	220	0	0
CDP20315	2371	2192	0	0
CDP20311	1923	1744	1.18564	0.0492765
CDP20314	372	193	0	0
CDP20317	981	802	4	0.361509
CDP20319	2444	2265	223	7.13625
CDP20320	678	499	16	2.32409
CDP20316	2013	1834	16	0.632345
CDP20318	2953	2774	189	4.93843
CDP22136	216	38.5618	0	0
CDP22137	135	7.48819	0	0
CDP22138	183	17.7996	2	8.14431
CDP20322	3441	3262	12.0346	0.267413
CDP20321	1414	1235	17.9654	1.05439
CDP22139	925	746	28	2.72052
CDP20323	3024	2845	8	0.203817
CDP20324	2103	1924	975	36.731
CDP20325	3436	3257	1867	41.5489
CDP20326	3863	3684	1789.16	35.2016
CDP20327	1593	1414	0	0
CDP20328	1116	937	178	13.7694
CDP22141	468	289	4.12629	1.03489
CDP20329	1047	868	2	0.16701
CDP20331	528	349	0	0
CDP20330	524	345	0	0
CDP20332	668	489	76.1154	11.2823
CDP20336	1455	1276	1811	102.873
CDP20333	1477	1298	4722	263.685
CDP20335	213	36.0583	0	0
CDP20334	1715	1536	458	21.6126
CDP20339	3669	3490	548.203	11.3854
CDP20337	944	765	2144.44	203.183
CDP20338	1348	1169	577.924	35.8335
CDP22142	891	712	574.826	58.518
CDP22143	1635	1456	128.344	6.38923
CDP20341	984	805	0	0
CDP20342	1228	1049	100.11	6.91727
CDP20340	2827	2648	1479	40.484
CDP22144	1683	1504	77.4879	3.73439
CDP22145	682	503	963.723	138.873
CDP22146	1293	1114	336.412	21.8887
CDP20345	2907	2728	56.4242	1.49918
CDP20344	1296	1117	99.8289	6.47794
CDP22147	1044	865	0	0
CDP22148	375	196	28	10.3546
CDP20346	465	286	3	0.760306
CDP20347	135	7.48819	0	0
CDP20349	569	390	84	15.6116
CDP20348	846	667	212.63	23.1064
CDP22149	659	480	16599.9	2506.68
CDP22150	474	295	0	0
CDP20350	849	670	6	0.649097
CDP22151	1050	871	19.7595	1.64434
CDP22152	1574	1395	283.4	14.7251
CDP20353	2235	2056	1	0.0352542
CDP22153	831	652	0	0
CDP20354	692	513	415.375	58.689
CDP22154	867	688	0	0
CDP22155	327	148	0	0
CDP20355	249	70.019	4.00948	4.15055
CDP22156	1632	1453	74.2328	3.70308
CDP20358	1891	1712	93.9241	3.97655
CDP20357	733	554	17.0265	2.22767
CDP20356	940	761	20.3087	1.93433
CDP22157	330	151	25.1573	12.0759
CDP22158	1041	862	484	40.6979
CDP22159	441	262	32.0545	8.86791
CDP22160	546	367	224.185	44.2765
CDP20360	3873	3694	810	15.8936
CDP20359	1575	1396	110	5.71138
CDP20361	774	595	51.0519	6.21911
CDP20362	1167	988	0	0
CDP22161	216	38.5618	3	5.63894
CDP20363	3048	2869	0	0
CDP20364	208	32.1317	0	0
CDP22162	537	358	506	102.447
CDP22163	543	364	0	0
CDP22164	630	451	221.079	35.5307
CDP22165	228	49.4247	0	0
CDP20365	168	12.9312	0	0
CDP22166	510	331	0	0
CDP22167	486	307	14.7476	3.4819
