target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	581.617	38.3734
CDP20216	763	584	1.33784	0.167918
CDP20215	2478	2299	680.321	21.6911
CDP22091	654	475	0	0
CDP22092	1677	1498	58.3297	2.85421
CDP22093	1104	925	12	0.950926
CDP20217	1276	1097	1208.45	80.7478
CDP20218	777	598	2.00677	0.245982
CDP20219	651	472	4	0.621191
CDP20221	750	571	1	0.128372
CDP20223	330	151	26.4607	12.8449
CDP20224	400	221	24	7.96024
CDP20222	341	162	3466.82	1568.64
CDP20220	813	634	0	0
CDP20225	447	268	2.20641	0.603473
CDP20228	1443	1264	12.0527	0.69895
CDP20226	975	796	3	0.276258
CDP20227	1853	1674	21.9473	0.961019
CDP20229	171	13.7365	0	0
CDP22094	521	342	12.55	2.68983
CDP22095	468	289	0	0
CDP20230	639	460	6.01918	0.95915
CDP20231	378	199	4.66587	1.71865
CDP22096	645	466	0	0
CDP22097	1680	1501	4164	203.347
CDP20232	426	247	0	0
CDP20234	4224	4045	6.09662	0.110479
CDP20233	2106	1927	3	0.114116
CDP20235	2943	2764	117.877	3.12606
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	208	18.9869
CDP20238	1203	1024	0	0
CDP20240	1248	1069	447	30.6505
CDP20239	1428	1249	136	7.98149
CDP20242	2340	2161	10	0.339197
CDP20243	922	743	772.238	76.185
CDP22100	2118	1939	472.564	17.8645
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	1	0.234187
CDP20247	1077	898	48.3587	3.94735
CDP20248	1086	907	3868.68	312.653
CDP20249	1266	1087	2	0.134868
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	4519.23	473.232
CDP22103	1122	943	0	0
CDP20251	980	801	2	0.183023
CDP20252	2573	2394	1337	40.9369
CDP22104	1069	890	106.014	8.7313
CDP20253	1455	1276	49	2.81483
CDP22105	1587	1408	47.6239	2.47931
CDP20254	4634	4455	995.167	16.374
CDP22106	918	739	6.07499	0.602571
CDP20255	755	576	8.57069e-05	1.09069e-05
CDP22107	546	367	101.738	20.32
CDP22108	609	430	0	0
CDP22109	465	286	0	0
CDP20256	434	255	98	28.1704
CDP22110	862	683	7449.75	799.518
CDP22111	1193	1014	30.3983	2.19745
CDP20258	1545	1366	0	0
CDP20257	1126	947	1243	96.2118
CDP22112	564	385	0	0
CDP22113	1845	1666	3.85345	0.169544
CDP20259	1674	1495	0	0
CDP20260	399	220	0	0
CDP22114	580	401	4	0.731178
CDP20261	387	208	0	0
CDP20262	3099	2920	60.5104	1.51899
CDP20263	870	691	0	0
CDP22115	546	367	0	0
CDP15750	1341	1162	526	33.1808
CDP15747	3013	2834	387.126	10.0129
CDP15748	849	670	1.00081	0.109492
CDP15749	3591	3412	1653	35.5117
CDP15751	1405	1226	81	4.84286
CDP15746	1017	838	0	0
CDP15752	1425	1246	136	8.0007
CDP22116	492	313	286	66.9775
CDP22117	501	322	0	0
CDP22118	804	625	0	0
CDP22119	480	301	1	0.243523
CDP20266	976	797	126.321	11.6178
CDP20267	336	157	13.6033	6.35114
CDP20264	896	717	0	0
CDP20265	2799	2620	71.3404	1.99591
CDP20269	363	184	0	0
CDP20268	1713	1534	14.8513	0.709651
CDP22120	255	76.0064	0	0
CDP20272	780	601	5	0.609822
CDP20273	2965	2786	8	0.210483
CDP20274	738	559	10.3082	1.3517
CDP22121	1635	1456	1.02871	0.051789
CDP22122	804	625	12	1.40737
CDP20275	1014	835	0	0
CDP20279	1680	1501	227	11.0854
CDP20277	2073	1894	164	6.34704
CDP20278	2842	2663	1517	41.7563
CDP20276	4025	3846	19	0.362119
CDP20280	737	558	236	31.0017
CDP20283	2773	2594	724	20.4586
CDP20281	1840	1661	105	4.63369
CDP20282	1365	1186	2	0.12361
CDP22123	1626	1447	107.191	5.42995
CDP22124	912	733	3	0.300002
CDP20286	1237	1058	459.772	31.854
CDP20285	228	49.4247	98	145.341
CDP20284	1157	978	1091.04	81.7725
CDP20288	765	586	0	0
CDP20287	1468	1289	49.9856	2.84249
CDP22125	145	8.64817	13	110.186
CDP22126	361	182	375.452	151.213
CDP22127	1767	1588	588.325	27.1565
CDP20289	264	85.0011	0	0
CDP20293	126	6.66748	0	0
CDP20290	135	7.48819	0	0
CDP20292	618	439	0	0
CDP20291	942	763	3	0.288207
CDP22128	330	151	1	0.485434
CDP20294	249	70.019	0	0
CDP20295	3228	3049	811	19.4971
CDP22129	648	469	214.6	33.5402
CDP22130	486	307	20.1849	4.81943
CDP20296	474	295	0	0
CDP20297	393	214	0	0
CDP20300	469	290	0	0
CDP20298	3664	3485	1374	28.8996
CDP20301	240	61.0822	15	18.0005
